"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"Lexus",2022,2422,2.4,1,"Petrol","Four-wheel Drive",15,20,1,1,0,1,0,0,51998
"Chevrolet",2019,38511,5.3,1,"Petrol","Four-wheel Drive",18,21,0,1,0,1,0,0,35416
"Mazda",2019,34105,2.5,1,"Petrol","Front-wheel Drive",22,28,0,1,0,1,0,1,25988
"Jeep",2018,111632,3.6,1,"Petrol","Four-wheel Drive",17,21,0,0,1,1,0,1,23991
"Mitsubishi",2022,21584,2.5,1,"Petrol","Four-wheel Drive",22,29,0,1,1,1,1,0,29495
"Maserati",2018,33498,3,1,"Petrol","Rear-wheel Drive",16,23,0,1,1,1,0,1,38500
"Ford",2010,76640,5.4,1,"GPL","Four-wheel Drive",14,14,0,0,0,0,0,0,16576
"Ford",2014,105808,2,1,"Hybrid","Front-wheel Drive",41,44,0,1,1,1,0,0,15998
"Honda",2017,28857,2,1,"Petrol","Front-wheel Drive",31,40,0,0,0,1,0,0,21998
"Audi",2022,10463,NA,1,"Petrol","Four-wheel Drive",23,28,0,1,0,1,0,1,42700
"Volkswagen",2021,28113,3.6,1,"Petrol","Four-wheel Drive",28,38,0,1,0,1,1,1,40459
"Nissan",2020,99355,3.5,1,"Petrol","Front-wheel Drive",NA,NA,1,0,1,1,0,1,22995
"Kia",2020,101704,NA,1,"Petrol","Four-wheel Drive",35,39,1,0,1,1,1,1,30595
"Mercedes-Benz",2020,46960,2,1,"Petrol","Four-wheel Drive",NA,NA,1,1,1,1,0,0,45897
"MINI",2021,37118,2,1,"Petrol","Four-wheel Drive",22,32,0,0,0,1,0,1,38991
"Cadillac",2007,226985,6.2,1,"Petrol","Four-wheel Drive",19,28,0,0,1,0,1,1,8995
"MINI",2022,12143,2,0,"Petrol","Front-wheel Drive",24,34,0,1,1,1,0,1,37729
"Kia",2022,7797,3.3,1,"Petrol","Four-wheel Drive",23,30,0,1,1,1,0,1,42398
"Audi",2022,9268,2,1,"Petrol","Four-wheel Drive",23,28,0,1,0,1,0,1,41800
"Volkswagen",2021,48468,2,1,"Petrol","Front-wheel Drive",16,23,0,0,0,1,1,0,26826
"Alfa",2019,41899,2,1,"Petrol","Four-wheel Drive",22,28,1,1,1,1,0,0,26490
"Jeep",2000,17911,4,1,"Petrol","Four-wheel Drive",16,21,0,0,0,0,0,0,27995
"FIAT",2019,29182,NA,1,"Electric","Front-wheel Drive",NA,NA,0,1,1,1,0,1,16955
"Ford",2020,86835,3.5,1,"Petrol","Four-wheel Drive",16,21,0,1,0,1,1,1,40252
"BMW",2013,107880,2,1,"Petrol","Four-wheel Drive",22,33,0,0,0,1,0,0,10999
"Hyundai",2023,4565,3.8,1,"Petrol","Four-wheel Drive",19,26,0,0,1,0,1,1,49700
"Alfa",2020,8493,2,1,"Petrol","Rear-wheel Drive",24,33,0,1,0,1,0,1,33641
"Volkswagen",1999,220137,2.8,1,"Petrol","Front-wheel Drive",20,29,0,0,0,0,1,0,19990
"Maserati",2016,23957,3,1,"Petrol","Four-wheel Drive",13,20,0,0,1,1,0,1,29496
"Maserati",2018,49668,3,1,"Petrol","Four-wheel Drive",16,22,1,0,1,1,0,1,37749
"Land",2021,14641,NA,1,"Petrol","Four-wheel Drive",12,18,0,0,1,1,0,0,41873
"Chevrolet",2023,6634,3.6,1,"Petrol","Front-wheel Drive",NA,NA,0,1,0,1,1,0,39985
"MINI",2020,23099,2,1,"Petrol","Four-wheel Drive",23,32,0,1,0,1,0,1,26211
